Approved symbol	Approved name	Previous symbols	Alias symbols
ADAM11	ADAM metallopeptidase domain 11	MDC	
ADAM12	ADAM metallopeptidase domain 12		MCMPMltna, MLTN
ADAM15	ADAM metallopeptidase domain 15		MDC15
ADAM17	ADAM metallopeptidase domain 17	TACE	cSVP, CD156B
ADAM18	ADAM metallopeptidase domain 18		tMDCIII, ADAM27
ADAM19	ADAM metallopeptidase domain 19		MLTNB
ADAM20	ADAM metallopeptidase domain 20		
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55	
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2		
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3		
ADAM21	ADAM metallopeptidase domain 21		ADAM31
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P	
ADAM22	ADAM metallopeptidase domain 22		MDC2
ADAM23	ADAM metallopeptidase domain 23		MDC3
ADAM24P	ADAM metallopeptidase domain 24, pseudogene		
ADAM28	ADAM metallopeptidase domain 28		eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29	ADAM metallopeptidase domain 29		svph1, CT73
ADAM30	ADAM metallopeptidase domain 30		svph4
ADAM32	ADAM metallopeptidase domain 32		
ADAM33	ADAM metallopeptidase domain 33	C20orf153	DKFZp434K0521, dJ964F7.1
ADAMDEC1	ADAM like decysin 1		M12.219
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1		C3-C5, METH1, KIAA1346
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3		KIAA0366, ADAMTS-4
ADAMTS3-AS1	ADAMTS3 antisense RNA 1		
ADAMTS3-AS2	ADAMTS3 antisense RNA 2		
ADAMTS3-AS3	ADAMTS3 antisense RNA 3		
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4		KIAA0688, ADAMTS-2, ADMP-1
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5		ADMP-2, ADAMTS11
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6		ADAM-TS6
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7		ADAM-TS7, DKFZp434H204
ADAMTS7P1	ADAMTS7 pseudogene 1	ADAMTS7P2	
ADAMTS7P3	ADAMTS7 pseudogene 3		
ADAMTS7P4	ADAMTS7 pseudogene 4		
ADAMTS7P5	ADAMTS7 pseudogene 5		
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8		METH2, FLJ41712, ADAM-TS8
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9		KIAA1312
ADAMTS9-AS1	ADAMTS9 antisense RNA 1		
ADAMTS9-AS2	ADAMTS9 antisense RNA 2		
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10		ADAM-TS10
ADAMTS10-AS1	ADAMTS10 antisense RNA 1		
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12		
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14		
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15		
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16		ADAMTS16s
ADAMTS16-AS1	ADAMTS16 antisense RNA 1		AC022424.2
ADAMTS16-DT	ADAMTS16 divergent transcript		
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17		FLJ32769, FLJ16363
ADAMTS17-AS1	ADAMTS17 antisense RNA 1		
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS21	
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19		
ADAMTS19-AS1	ADAMTS19 antisense RNA 1		RP11-346A9.1
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20		GON-1
ADAMTSL1	ADAMTS like 1	C9orf94	ADAMTSR1, FLJ35283
ADAMTSL2	ADAMTS like 2		KIAA0605
ADAMTSL3	ADAMTS like 3		KIAA1233, punctin-2
ADAMTSL4	ADAMTS like 4	TSRC1	DKFZP434K1772
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	C1orf138	FLJ45786
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2		
ADAMTSL5	ADAMTS like 5	THSD6	
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L
ADAP2	ArfGAP with dual PH domains 2	CENTA2	
ADAR	adenosine deaminase RNA specific	IFI4, G1P1	ADAR1, DRADA
ADARB1	adenosine deaminase RNA specific B1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d
ADARB2	adenosine deaminase RNA specific B2 (inactive)		RED2, hRED2, ADAR3
ADARB2-AS1	ADARB2 antisense RNA 1	C10orf109, NCRNA00168	bA466B20.1
ADAT1	adenosine deaminase tRNA specific 1		
ADAT2	adenosine deaminase tRNA specific 2	DEADC1	dJ20N2.1, TAD2
ADAT3	adenosine deaminase tRNA specific 3		TAD3
ADCK1	aarF domain containing kinase 1		FLJ39600
ADCK2	aarF domain containing kinase 2		MGC20727
ADCK5	aarF domain containing kinase 5		FLJ35454
ADCP1	adenosine deaminase complexing protein 1		
ADCY1	adenylate cyclase 1	DFNB44	AC1
ADCY2	adenylate cyclase 2		HBAC2, KIAA1060, AC2
ADCY2-AS1	ADCY2 antisense RNA 1		
ADCY3	adenylate cyclase 3		AC3
ADCY4	adenylate cyclase 4		AC4
ADCY5	adenylate cyclase 5		AC5
ADCY6	adenylate cyclase 6		AC6
ADCY6-DT	ADCY6 divergent transcript		
ADCY7	adenylate cyclase 7		KIAA0037, AC7
ADCY8	adenylate cyclase 8	ADCY3	HBAC1, AC8
ADCY9	adenylate cyclase 9		AC9
ADCY10	adenylate cyclase 10		SAC, Sacy, SACI, HCA2, RP1-313L4.2
ADCY10P1	ADCY10 pseudogene 1		
ADCYAP1	adenylate cyclase activating polypeptide 1		PACAP
ADCYAP1R1	ADCYAP receptor type I		PAC1, PACAPR, PAC1R
ADD1	adducin 1		
ADD1-DT	ADD1 divergent transcript		
ADD2	adducin 2		ADDB
ADD2-AS1	ADD2 antisense RNA 1		
ADD3	adducin 3	ADDL	
ADD3-AS1	ADD3 antisense RNA 1		
ADGB	androglobin	C6orf103	FLJ23121, dJ408K24.1, CAPN16
ADGB-DT	ADGB divergent transcript		
ADGRA1	adhesion G protein-coupled receptor A1	GPR123	KIAA1828
ADGRA1-AS1	ADGRA1 antisense RNA 1	GPR123-AS1	
ADGRA2	adhesion G protein-coupled receptor A2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390
ADGRA3	adhesion G protein-coupled receptor A3	GPR125	FLJ38547, PGR21
ADGRA3P1	ADGRA3 pseudogene 1		
ADGRB1	adhesion G protein-coupled receptor B1	BAI1	
ADGRB2	adhesion G protein-coupled receptor B2	BAI2	
ADGRB3	adhesion G protein-coupled receptor B3	BAI3	KIAA0550
ADGRB3-DT	ADGRB3 divergent transcript		AL391807.1, RP3-525N10.2
ADGRD1	adhesion G protein-coupled receptor D1	GPR133	DKFZp434B1272, PGR25
ADGRD1-AS1	ADGRD1 antisense RNA 1		LACAT8
ADGRD1-AS2	ADGRD1 antisense RNA 2		
ADGRD2	adhesion G protein-coupled receptor D2	GPR144	PGR24
ADGRE1	adhesion G protein-coupled receptor E1	TM7LN3, EMR1	
ADGRE2	adhesion G protein-coupled receptor E2	EMR2	CD312
ADGRE3	adhesion G protein-coupled receptor E3	EMR3	
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	GPR127, EMR4, EMR4P	PGR16
ADGRE5	adhesion G protein-coupled receptor E5	CD97	TM7LN1
ADGRF1	adhesion G protein-coupled receptor F1	GPR110	hGPCR36, PGR19
ADGRF2P	adhesion G protein-coupled receptor F2, pseudogene	GPR111, ADGRF2	hGPCR35, PGR20
ADGRF3	adhesion G protein-coupled receptor F3	GPR113	hGPCR37, PGR23
ADGRF4	adhesion G protein-coupled receptor F4	GPR115	FLJ38076, PGR18
ADGRF5	adhesion G protein-coupled receptor F5	GPR116	DKFZp564O1923, KIAA0758
ADGRF5-AS1	ADGRF5 antisense RNA 1		
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	GPR116P1	
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2	GPR116P2	
ADGRG1	adhesion G protein-coupled receptor G1	GPR56	TM7LN4, TM7XN1
ADGRG2	adhesion G protein-coupled receptor G2	GPR64	HE6, TM7LN2, EDDM6
ADGRG3	adhesion G protein-coupled receptor G3	GPR97	Pb99, PGR26
ADGRG4	adhesion G protein-coupled receptor G4	GPR112	RP1-299I16, PGR17
ADGRG5	adhesion G protein-coupled receptor G5	GPR114	PGR27
ADGRG6	adhesion G protein-coupled receptor G6	GPR126	FLJ14937
ADGRG7	adhesion G protein-coupled receptor G7	GPR128	FLJ14454
ADGRL1	adhesion G protein-coupled receptor L1	LPHN1	KIAA0821, CIRL1, LEC2
ADGRL1-AS1	ADGRL1 antisense RNA 1		
ADGRL2	adhesion G protein-coupled receptor L2	LPHH1, LPHN2	KIAA0786, LEC1, CIRL2
ADGRL3	adhesion G protein-coupled receptor L3	LPHN3	KIAA0768, LEC3
ADGRL3-AS1	ADGRL3 antisense RNA 1	LPHN3-AS1	
ADGRL3-AS2	ADGRL3 antisense RNA 2		
ADGRL3-AS3	ADGRL3 antisense RNA 3		
ADGRL4	adhesion G protein-coupled receptor L4	ELTD1	ETL
ADGRV1	adhesion G protein-coupled receptor V1	USH2C, MASS1, GPR98	DKFZp761P0710, KIAA0686, FEB4, VLGR1
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1	
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	ADH2	
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH3	
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide		ADH-2
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	FDH	ADH-3, ADHX, GSNOR
ADH5P2	ADH5 pseudogene 2		
ADH5P3	ADH5 pseudogene 3		
ADH5P4	ADH5 pseudogene 4	ADH5B	bA707M13.2
ADH5P5	ADH5 pseudogene 5		
ADH6	alcohol dehydrogenase 6 (class V)		ADH-5
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide		ADH-4
ADHFE1	alcohol dehydrogenase iron containing 1		FLJ32430
ADI1	acireductone dioxygenase 1		SIPL, MTCBP-1, ARD, APL1, FLJ10913, HMFT1638, mtnD
ADI1P1	acireductone dioxygenase 1 pseudogene 1		
ADI1P2	acireductone dioxygenase 1 pseudogene 2		
ADI1P3	acireductone dioxygenase 1 pseudogene 3		
ADIG	adipogenin		MGC39724, SMAF1, RP5-1100H13.2
ADIPINT	adipocyte associated pyruvate carboxylase interacting lncRNA		
ADIPOQ	adiponectin, C1Q and collagen domain containing	ACDC	ACRP30, apM1, GBP28, adiponectin
ADIPOQ-AS1	ADIPOQ antisense RNA 1		
ADIPOR1	adiponectin receptor 1		PAQR1, ACDCR1
ADIPOR1P1	adiponectin receptor 1 pseudogene 1		
ADIPOR1P2	adiponectin receptor 1 pseudogene 2		
ADIPOR2	adiponectin receptor 2		PAQR2, ACDCR2
ADIRF	adipogenesis regulatory factor	C10orf116	APM2, AFRO
ADIRF-AS1	ADIRF antisense RNA 1		
ADISSP	adipose secreted signaling protein	C20orf27	FLJ20550
ADISSPP1	ADISSP pseudogene 1		
ADISSPP2	ADISSP pseudogene 2		
ADK	adenosine kinase		AK
ADK-AS1	ADK antisense RNA 1		
ADM	adrenomedullin		AM
ADM-DT	ADM divergent transcript		
ADM2	adrenomedullin 2		AM2, FLJ21135
ADM5	adrenomedullin 5 (putative)	C19orf76	AM5
ADNP	activity dependent neuroprotector homeobox		KIAA0784, ADNP1
ADNP-AS1	ADNP antisense RNA 1		
ADNP2	ADNP homeobox 2	ZNF508	KIAA0863
ADO	2-aminoethanethiol dioxygenase	C10orf22	FLJ14547
ADORA1	adenosine A1 receptor		RDC7
ADORA1-AS1	ADORA1 antisense RNA 1		
ADORA1-AS2	ADORA1 antisense RNA 2		
ADORA2A	adenosine A2a receptor	ADORA2	RDC8
ADORA2A-AS1	ADORA2A antisense RNA 1	C22orf45	FLJ34651, hLinfRNA1
ADORA2B	adenosine A2b receptor		
ADORA2BP1	adenosine A2b receptor pseudogene 1	ADORA2BP	
ADORA3	adenosine A3 receptor		AD026, A3AR
ADPGK	ADP dependent glucokinase		DKFZp434B195, ADP-GK
ADPGK-AS1	ADPGK antisense RNA 1		
ADPRH	ADP-ribosylarginine hydrolase		ARH1
ADPRH-AS1	ADPRH antisense RNA 1		AC073352.1
ADPRHL1	ADP-ribosylhydrolase like 1		ARH2
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	C17orf48	MDS006
ADPRS	ADP-ribosylserine hydrolase	ADPRHL2	ARH3, FLJ20446
ADRA1A	adrenoceptor alpha 1A	ADRA1C	ADRA1L1
ADRA1B	adrenoceptor alpha 1B		
ADRA1D	adrenoceptor alpha 1D		ADRA1R, ADRA1A, ADRA1
ADRA2A	adrenoceptor alpha 2A	ADRA2, ADRA2R	ADRAR
ADRA2B	adrenoceptor alpha 2B	ADRA2L1, ADRA2RL1	ADRARL1
ADRA2C	adrenoceptor alpha 2C	ADRA2L2, ADRA2RL2	ADRARL2
ADRB1	adrenoceptor beta 1	ADRB1R	
ADRB2	adrenoceptor beta 2	ADRB2R	ADRBR, BAR, B2AR, ARB2
ADRB3	adrenoceptor beta 3		
ADRM1	ADRM1 26S proteasome ubiquitin receptor		GP110, Rpn13, ARM1, PSMD16
ADSL	adenylosuccinate lyase		
ADSS1	adenylosuccinate synthase 1	ADSSL1	FLJ38602
ADSS2	adenylosuccinate synthase 2	ADSS	
ADTRP	androgen dependent TFPI regulating protein	C6orf105	dJ413H6.1, AIG1L
AEBP1	AE binding protein 1		ACLP
AEBP2	AE binding protein 2		MGC17922
AEN	apoptosis enhancing nuclease	ISG20L1	FLJ12484, FLJ12562
AFAP1	actin filament associated protein 1		AFAP-110, AFAP
AFAP1-AS1	AFAP1 antisense RNA 1	AFAP1AS, AFAP1-AS	MGC10981
AFAP1-AS2	AFAP1 antisense RNA 2		
AFAP1L1	actin filament associated protein 1 like 1		FLJ36748
AFAP1L2	actin filament associated protein 1 like 2	KIAA1914	FLJ14564, Em:AC005383.4, XB130
AFDN	afadin, adherens junction formation factor	MLLT4	AF-6, AF6
AFDN-DT	AFDN divergent transcript	AFDN-AS1, C6orf124, LINC01558, MLLT4-AS1	HGC6.4, dJ431P23.3, XBP1SBM
AFF1	ALF transcription elongation factor 1	PBM1, MLLT2	AF-4, AF4, FEL
AFF1-AS1	AFF1 antisense RNA 1		
AFF2	ALF transcription elongation factor 2	FMR2	FRAXE
AFF2-IT1	AFF2 intronic transcript 1		
AFF3	ALF transcription elongation factor 3	LAF4	MLLT2-like
AFF4	ALF transcription elongation factor 4		AF5Q31, MCEF
AFF4-DT	AFF4 divergent transcript		
AFF4P1	AFF4 pseudogene 1		
AFG1L	AFG1 like ATPase	LACE1	AFG1
AFG2A	AAA ATPase AFG2A	SPATA5	SPAF, AFG2
AFG2B	AAA ATPase AFG2B	SPATA5L1	MGC5347, FLJ12286
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	AFG3, AFG3L1	
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	SCA28	SPAX5
AFG3L2P1	AFG3L2 pseudogene 1	AFG3L2P	
AFM	afamin		ALB2, ALBA
AFMID	arylformamidase		DKFZp686F03259, KF
AFP	alpha fetoprotein	HPAFP	FETA
AFTPH	aftiphilin		MGC33965, FLJ20080, FLJ23793, Nbla10388
AFTPH-DT	AFTPH divergent transcript		
AGA	aspartylglucosaminidase		ASRG
AGA-DT	AGA divergent transcript		
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	CENTG2	KIAA1099, GGAP1
AGAP1-IT1	AGAP1 intronic transcript 1		
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	CENTG1	
AGAP2-AS1	AGAP2 antisense RNA 1		LOC100130776, PUNISHER
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	CENTG3	
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	CTGLF1, AGAP8, CTGLF5	Em:AC012044.1, MRIP2
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	CTGLF2	Em:AC073389.1
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	CTGLF3	bA324H6.1
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	CTGLF4, AGAP7	bA109G10.1
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	CTGLF6	bA301J7.2, FLJ00312
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene	AGAP10, CTGLF7, CTGLF10P	bA358L16.1, bA144G6.2
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11		KIAA1975
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	CTGLF12P	bA164N7.2
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene	CTGLF9P	bA548K23.1
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene	CTGLF11P, AGAP14	bA145E20.1
AGBL1	AGBL carboxypeptidase 1		FLJ32310, CCP4
AGBL1-AS1	AGBL1 antisense RNA 1		
AGBL2	AGBL carboxypeptidase 2		FLJ23598, CCP2
AGBL3	AGBL carboxypeptidase 3		MGC32955, CCP3
AGBL4	AGBL carboxypeptidase 4		FLJ14442, CCP6
AGBL4-AS1	AGBL4 antisense RNA 1		
AGBL4-IT1	AGBL4 intronic transcript 1		
AGBL5	AGBL carboxypeptidase 5		FLJ21839, CCP5
AGBL5-AS1	AGBL5 antisense RNA 1		
AGBL5-IT1	AGBL5 intronic transcript 1		
AGER	advanced glycosylation end-product specific receptor		RAGE, SCARJ1, sRAGE
AGFG1	ArfGAP with FG repeats 1	HRB	RIP, RAB
AGFG2	ArfGAP with FG repeats 2	HRBL	RABR
AGGF1	angiogenic factor with G-patch and FHA domains 1		VG5Q, HSU84971, FLJ10283, GPATC7, GPATCH7
AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1		
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2		
AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3		
AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4		
AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5		
AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6		
AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7		
AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8		
AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9		
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10		
AGK	acylglycerol kinase	MULK	FLJ10842
AGK-DT	AGK divergent transcript		
AGKP1	AGK pseudogene 1		AGKY1
AGKP2	AGK pseudogene 2		
AGL	amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase		GDE
AGMAT	agmatinase (putative)		FLJ23384
AGMO	alkylglycerol monooxygenase	TMEM195	FLJ16237
AGO1	argonaute RISC component 1	EIF2C1	hAGO1
AGO2	argonaute RISC catalytic component 2	EIF2C2, CASC7	hAGO2, Q10, LINC00980
AGO3	argonaute RISC catalytic component 3	EIF2C3	hAGO3, FLJ12765
AGO4	argonaute RISC component 4	EIF2C4	hAGO4, KIAA1567, FLJ20033
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1		LPAAT-alpha, LPLAT1
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	BSCL	LPAAT-beta, LPLAT2
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3		LPAAT-gamma, LPAAT3, LPLAT3
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4		LPAAT-delta, dJ473J16.2, LPAAT4, LPLAT4
AGPAT4-IT1	AGPAT4 intronic transcript 1	C6orf59, NCRNA00241	FLJ23112
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5		FLJ11210, LPAAT-e, LPAAT-epsilon, LPLAT5
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1		
AGPS	alkylglycerone phosphate synthase		ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S
AGR2	anterior gradient 2, protein disulphide isomerase family member		XAG-2, HAG-2, AG2, PDIA17
AGR3	anterior gradient 3, protein disulphide isomerase family member		HAG3, hAG-3, BCMP11, PDIA18
AGRN	agrin	AGRIN	
AGRP	agouti related neuropeptide		Agrt, ART, ASIP2
AGT	angiotensinogen	SERPINA8	
AGTPBP1	ATP/GTP binding carboxypeptidase 1		KIAA1035, Nna1, CCP1
AGTR1	angiotensin II receptor type 1	AGTR1B	AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B, ATR1
AGTR2	angiotensin II receptor type 2		AT2, MRX88
AGTRAP	angiotensin II receptor associated protein		ATRAP
AGXT	alanine--glyoxylate aminotransferase	SPAT	AGXT1, PH1, AGT, SPT, AGT1, TLH6, Ser-PyrAT
AGXT2	alanine--glyoxylate aminotransferase 2		AGT2
AHCTF1	AT-hook containing transcription factor 1		ELYS
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1	AHCTF1P	ELYS-like
AHCY	adenosylhomocysteinase		SAHH, AdoHcyase
AHCYL1	adenosylhomocysteinase like 1		XPVKONA, IRBIT, PPP1R78
AHCYL2	adenosylhomocysteinase like 2		KIAA0828, long-IRBIT, IRBIT2, ADOHCYASE3
AHCYP1	adenosylhomocysteinase pseudogene 1		
AHCYP2	adenosylhomocysteinase pseudogene 2		
AHCYP3	adenosylhomocysteinase pseudogene 3		
AHCYP4	adenosylhomocysteinase pseudogene 4		
AHCYP5	adenosylhomocysteinase pseudogene 5		
AHCYP6	adenosylhomocysteinase pseudogene 6		
AHCYP7	adenosylhomocysteinase pseudogene 7		
AHCYP8	adenosylhomocysteinase pseudogene 8		
AHDC1	AT-hook DNA binding motif containing 1		DJ159A19.3, RP1-159A19.1
AHI1	Abelson helper integration site 1		FLJ20069, ORF1, JBTS3
AHI1-DT	AHI1 divergent transcript	C6orf217, NCRNA00271, LINC00271	
AHNAK	AHNAK nucleoprotein		MGC5395, AHNAK1
AHNAK2	AHNAK nucleoprotein 2	C14orf78	
AHR	aryl hydrocarbon receptor		bHLHe76
AHRR	aryl hydrocarbon receptor repressor	AHH, AHHR	KIAA1234, bHLHe77
AHSA1	activator of HSP90 ATPase activity 1	C14orf3	p38, Aha1, hAha1
AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene	AHSA2	DKFZp564C236, Hch1, AHA1
AHSG	alpha 2-HS glycoprotein		FETUA, A2HS, HSGA
AHSP	alpha hemoglobin stabilizing protein	ERAF	EDRF
AICDA	activation induced cytidine deaminase		HIGM2, CDA2, ARP2, AID
AIDA	axin interactor, dorsalization associated	C1orf80	FLJ12806
AIDAP1	AIDA pseudogene 1		
AIDAP2	AIDA pseudogene 2		
AIDAP3	AIDA pseudogene 3		
AIF1	allograft inflammatory factor 1		IRT-1, AIF-1, Em:AF129756.17, IBA1
AIF1L	allograft inflammatory factor 1 like	C9orf58	IBA2, FLJ12783
AIFM1	apoptosis inducing factor mitochondria associated 1	PDCD8, NAMSD, AUNX1	AIF, CMTX4, DFNX5
AIFM1P1	AIFM1 pseudogene 1		
AIFM2	AIF family member 2, ferroptosis suppressor	AMID	FLJ14497, PRG3, FSP1
AIFM3	AIF family member 3		AIFL, FLJ30473
AIG1	androgen induced 1		dJ95L4.1, AIG-1, FLJ10485
AIG1P1	androgen induced 1 pseudogene 1		
AIM2	absent in melanoma 2		PYHIN4
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	SCYE1	EMAPII, EMAP-2, p43
AIMP1P1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 1	SCYE1P	bA400P21.1
AIMP1P2	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2		
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2		p38, PRO0992, JTV-1, JTV1
AIP	AHR interacting HSP90 co-chaperone		XAP2, ARA9, FKBP16, FKBP37
AIPL1	AIP like 1 HSP90 co-chaperone	LCA4	
AIRE	autoimmune regulator	APECED	PGA1, APS1
AIRIM	AFG2 interacting ribosome maturation factor	C1orf109	FLJ20508
AIRN	antisense of IGF2R non-protein coding RNA		AIR, NCRNA00088, IGF2RAS, IGF2R-AS1
AJAP1	adherens junctions associated protein 1		SHREW1, SHREW-1, MOT8
AJM1	apical junction component 1 homolog	C9orf172	ajm-1
AJUBA	ajuba LIM protein	JUB	MGC15563
AJUBA-DT	AJUBA divergent transcript		
AK1	adenylate kinase 1		ADK, Adk1
AK2	adenylate kinase 2		
AK2-AS1	AK2 antisense RNA 1		
AK2P1	adenylate kinase 2 pseudogene 1		AK2B
AK2P2	adenylate kinase 2 pseudogene 2		
AK3	adenylate kinase 3	AK6, AK3L1	AKL3L1
AK3P2	AK3 pseudogene 2		HsT26053
AK3P3	AK3 pseudogene 3		
AK3P4	AK3 pseudogene 4		
AK3P5	AK3 pseudogene 5		
AK3P6	AK3 pseudogene 6		
AK3P7	AK3 pseudogene 7		
AK4	adenylate kinase 4	AK3, AK3L1	
AK4P1	adenylate kinase 4 pseudogene 1	AK3P1	
AK4P2	adenylate kinase 4 pseudogene 2		
AK4P3	adenylate kinase 4 pseudogene 3	AK3L2	AK3L2P
AK4P4	adenylate kinase 4 pseudogene 4		
AK4P5	adenylate kinase 4 pseudogene 5		
AK4P6	adenylate kinase 4 pseudogene 6		
AK5	adenylate kinase 5		
AK5-AS1	AK5 antisense RNA 1		
AK6	adenylate kinase 6		CINAP
AK6P1	adenylate kinase 6 pseudogene 1		
AK6P2	adenylate kinase 6 pseudogene 2		
AK7	adenylate kinase 7		FLJ32864, FAP75, CFAP75
AK8	adenylate kinase 8	C9orf98	FLJ32704
AK9	adenylate kinase 9	C6orf224, AKD2, C6orf199, AKD1	FLJ42177, FLJ25791, dJ70A9.1, MGC26954
AKAIN1	A-kinase anchor inhibitor 1	C18orf42	
AKAIN1-AS1	AKAIN1 antisense RNA 1		
AKAP1	A-kinase anchoring protein 1	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17
AKAP1-DT	AKAP1 divergent transcript		
AKAP2	A-kinase anchoring protein 2	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2
AKAP3	A-kinase anchoring protein 3		FSP95, SOB1, AKAP110, CT82
AKAP4	A-kinase anchoring protein 4		p82, hAKAP82, AKAP82, Fsc1, HI, CT99
AKAP5	A-kinase anchoring protein 5		AKAP75, AKAP79
AKAP6	A-kinase anchoring protein 6		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6
AKAP7	A-kinase anchoring protein 7		AKAP18, AKAP15
AKAP8	A-kinase anchoring protein 8		AKAP95, DKFZp586B1222
