Approved symbol	Approved name	Previous symbols	Alias symbols
ACOXL	acyl-CoA oxidase like		FLJ11042, ACOX4
ACOXL-AS1	ACOXL antisense RNA 1		
ACP1	acid phosphatase 1		HAAP, LMW-PTP, LMWPTP
ACP2	acid phosphatase 2, lysosomal		LAP
ACP3	acid phosphatase 3	ACPP	ACP-3, PAP, TM-PAP
ACP4	acid phosphatase 4	ACPT	
ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP, TRAcP
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1
ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1, PAPL
ACR	acrosin		
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23
ACRP1	ACR pseudogene 1		
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW
ACSF3	acyl-CoA synthetase family member 3		
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
ACSL1-DT	ACSL1 divergent transcript		
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	ACS3, PRO2194
ACSL3-AS1	ACSL3 antisense RNA 1		
ACSL3P1	ACSL3 pseudogene 1		
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	ACS5, ACS2
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2
ACSL6-AS1	ACSL6 antisense RNA 1		
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	A-923A4.1, MGC150530
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	HXMA, HYST1046
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA
ACSM4	acyl-CoA synthetase medium chain family member 4		
ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1		
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963
ACSS3-AS1	ACSS3 antisense RNA 1		
ACTA1	actin alpha 1, skeletal muscle	ACTA	NEM3
ACTA2	actin alpha 2, smooth muscle		ACTSA
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1, UC001kfo
ACTB	actin beta		
ACTBL2	actin beta like 2		DKFZp686D0972
ACTBP1	ACTB pseudogene 1		
ACTBP2	ACTB pseudogene 2		
ACTBP3	ACTB pseudogene 3		
ACTBP4	ACTB pseudogene 4		
ACTBP6	ACTB pseudogene 6		
ACTBP7	ACTB pseudogene 7		
ACTBP8	ACTB pseudogene 8		ACTBP2
ACTBP9	ACTB pseudogene 9		
ACTBP10	ACTB pseudogene 10		
ACTBP11	ACTB pseudogene 11		
ACTBP12	ACTB pseudogene 12	ACTGP5	
ACTBP14	ACTB pseudogene 14		
ACTBP15	ACTB pseudogene 15		
ACTBP16	ACTB pseudogene 16		
ACTC1	actin alpha cardiac muscle 1	ACTC	CMD1R
ACTE1P	actin epsilon 1, pseudogene		
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26	
ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1	
ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2	
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3	
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4	
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6	
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7	
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8	
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9	
ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10	
ACTG1P11	actin gamma 1 pseudogene 11		
ACTG1P12	actin gamma 1 pseudogene 12		
ACTG1P13	actin gamma 1 pseudogene 13		
ACTG1P14	actin gamma 1 pseudogene 14		
ACTG1P15	actin gamma 1 pseudogene 15		
ACTG1P16	actin gamma 1 pseudogene 16		
ACTG1P17	actin gamma 1 pseudogene 17		
ACTG1P18	actin gamma 1 pseudogene 18		
ACTG1P19	actin gamma 1 pseudogene 19		
ACTG1P20	actin gamma 1 pseudogene 20		
ACTG1P21	actin gamma 1 pseudogene 21		
ACTG1P22	actin gamma 1 pseudogene 22		
ACTG1P23	actin gamma 1 pseudogene 23		
ACTG1P24	actin gamma 1 pseudogene 24	POTENP	
ACTG1P25	actin gamma 1 pseudogene 25		AGPG
ACTG2	actin gamma 2, smooth muscle	ACTL3, ACTA3	ACTSG
ACTL6A	actin like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1
ACTL6A-AS1	ACTL6A antisense RNA 1		
ACTL6B	actin like 6B	ACTL6	BAF53B, SMARCN2
ACTL7A	actin like 7A		
ACTL7B	actin like 7B		Tact1
ACTL8	actin like 8		CT57
ACTL9	actin like 9		MGC33407
ACTL10	actin like 10	C20orf134	
ACTL11P	actin like 11, pseudogene	ACTBP13	
ACTMAP	actin maturation protease	C19orf54	FLJ41131
ACTN1	actinin alpha 1		
ACTN1-DT	ACTN1 divergent transcript	C14orf84, ACTN1-AS1	
ACTN2	actinin alpha 2		
ACTN3	actinin alpha 3		
ACTN3-AS1	ACTN3 antisense RNA 1		
ACTN4	actinin alpha 4	FSGS1	
ACTN4-AS1	ACTN4 antisense RNA 1		
ACTN4P1	actinin alpha 4 pseudogene 1		
ACTN4P2	actinin alpha 4 pseudogene 2		
ACTP1	actin family pseudogene 1		
ACTR1A	actin related protein 1A		ARP1, Arp1A
ACTR1AP1	ACTR1A pseudogene 1		
ACTR1B	actin related protein 1B	CTRN2	Arp1B
ACTR2	actin related protein 2		ARP2
ACTR2P1	ACTR2 pseudogene 1		
ACTR2P2	ACTR2 pseudogene 2		
ACTR3	actin related protein 3		ARP3
ACTR3-AS1	ACTR3 antisense RNA 1		AC104653.1
ACTR3B	actin related protein 3B		ARP11, ARP3beta
ACTR3BP1	ACTR3B pseudogene 1		
ACTR3BP2	ACTR3B pseudogene 2		FKSG73
ACTR3BP3	ACTR3B pseudogene 3		
ACTR3BP4	ACTR3B pseudogene 4		
ACTR3BP5	ACTR3B pseudogene 5		
ACTR3BP6	ACTR3B pseudogene 6		
ACTR3BP7	ACTR3B pseudogene 7		
ACTR3C	actin related protein 3C		ARP11
ACTR3P1	ACTR3 pseudogene 1		
ACTR3P2	ACTR3 pseudogene 2		
ACTR3P3	ACTR3 pseudogene 3		
